name,Vol-Iss
APS_PRL,"Vol. 127, Iss. 9"
APS_PRX,"Vol. 11, Iss. 3"
APS_PRB,"Vol. 104, Iss. 5-8"
APS_RMP,"Vol. 93, Iss. 3"
AIP_APL,"Vol. 119, Iss. 8"
AIP_APR,"Vol. 8, Iss. 3"
ELSEVIER_ActaMater,Vol. 219-218
ELSEVIER_Carbon,Vol. 170-169
ELSEVIER_Corrosion_Science,Vol. 192-191
ELSEVIER_Journal_of_Catalysis,Vol. 402-401
ELSEVIER_Nanotoday,Vol. 40-39-38
ACS_JACS,"Vol. 143, Iss. 33"
ACS_NANOLetters,"Vol. 21, Iss. 16"
ACS_NANO,"Vol. 15, Iss. 8"
ACS_AMI,"Vol. 13, Iss. 33"
ACS_JPCL,"Vol. 12, Iss. 33"
ACS_JPCA,"Vol. 125, Iss. 33"
ACS_JPCB,"Vol. 125, Iss. 33"
ACS_JPCC,"Vol. 125, Iss. 33"
AAAS_Science,"Vol. 373, Iss. 6558"
AAAS_ScienceAdvances,"Vol. 7, Iss. 34"
Nature,"Vol. 596, Iss. 7873"
Nature_communications,26 Aug 2021
Nature_materials,"Vol. 20, Iss. 9"
Nature_nanotechnology,"Vol. 16, Iss. 8"
Wiley_AFM,"Vol. 31, Iss. 35"
Wiley_Angewandte chemie,"Vol. 60, Iss. 36"
Wiley_Small,"Vol. 17, Iss. 34"
Wiley_Advanced_Materials_Interfaces,"Vol. 8, Iss. 16"
Wiley_Advanced_Materials,"Vol. 33, Iss. 34"
Wiley_Advanced_Science,"Vol. 8, Iss. 16"
PNAS,"Vol. 118, Iss. 37"
Tribology_Letters,"Vol. 69, Iss. 4"
